node,datetime,generator,Generation,Capacity Curtailed
Arica066,2024-01-30T15:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-30T16:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-30T17:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-30T18:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-31T09:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-01-31T10:00:00.000000,CHAPIQUINA,5.5,0.0
Arica066,2024-01-31T11:00:00.000000,CHAPIQUINA,5.5,0.0
Arica066,2024-01-31T12:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-31T13:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-31T14:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-31T15:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-31T16:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-01-31T17:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T10:00:00.000000,CHAPIQUINA,7.0,0.0
Arica066,2024-02-01T11:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T12:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T13:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T14:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T15:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T16:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-01T17:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-02T10:00:00.000000,CHAPIQUINA,5.0,0.0
Arica066,2024-02-02T11:00:00.000000,CHAPIQUINA,5.0,0.0
Arica066,2024-02-02T12:00:00.000000,CHAPIQUINA,5.0,0.0
Arica066,2024-02-02T13:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-02T14:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-02T15:00:00.000000,CHAPIQUINA,4.0,0.0
Arica066,2024-02-02T16:00:00.000000,CHAPIQUINA,4.0,0.0
Colbun220,2024-01-28T08:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T09:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T10:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T11:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T12:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T13:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T14:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T15:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T16:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T17:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-28T18:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-29T09:00:00.000000,CHIBURGO,0.0,0.0
Colbun220,2024-01-30T09:00:00.000000,CHIBURGO,0.0,0.0
Sauzal110_BP2,2024-01-28T08:00:00.000000,CIPRESILLOS,8.0,0.0
Sauzal110_BP2,2024-01-28T09:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T10:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T11:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T12:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T13:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T14:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T15:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T16:00:00.000000,CIPRESILLOS,0.0,0.0
